,Year Factor,Time Factor,Home Team Name,Home Team Points,Away Team Points,Away Team Name,Extra Condition,Referee Nationality
299,1978,afternoon,ITA,1,0,AUT,Null,BEL
300,1978,afternoon,FRG,2,2,NED,Null,URU
301,1978,night,ARG,0,0,BRA,Null,HUN
302,1978,afternoon,NED,2,1,ITA,Null,ESP
303,1978,afternoon,AUT,3,2,FRG,Null,ISR
304,1978,afternoon,BRA,3,1,POL,Null,CHI
305,1978,night,ARG,6,0,PER,Null,FRA
306,1978,afternoon,BRA,2,1,ITA,Null,ISR
307,1978,afternoon,ARG,3,1,NED,Extra,ITA
308,1982,night,ARG,0,1,BEL,Null,TCH
309,1982,dusk,ITA,0,0,POL,Null,FRA
310,1982,night,BRA,2,1,URS,Null,ESP
311,1982,dusk,PER,0,0,CMR,Null,AUT
312,1982,night,HUN,10,1,SLV,Null,BHR
313,1982,night,SCO,5,2,NZL,Null,USA
314,1982,dusk,FRG,1,2,ALG,Null,PER
315,1982,dusk,ENG,3,1,FRA,Null,POR
316,1982,night,ESP,1,1,HON,Null,ARG
317,1982,dusk,CHI,0,1,AUT,Null,URU
318,1982,dusk,TCH,1,1,KUW,Null,GHA
319,1982,night,YUG,0,0,NIR,Null,SWE
320,1982,dusk,ITA,1,1,PER,Null,GER
321,1982,night,ARG,4,1,HUN,Null,ALG
322,1982,night,BRA,4,1,SCO,Null,CRC
323,1982,night,POL,0,0,CMR,Null,BEL
324,1982,night,BEL,1,0,SLV,Null,NIR
325,1982,night,URS,3,0,NZL,Null,LBY
326,1982,dusk,FRG,4,1,CHI,Null,SUI
327,1982,dusk,ENG,2,0,TCH,Null,NED
328,1982,night,ESP,2,1,YUG,Null,DEN
329,1982,dusk,ALG,0,2,AUT,Null,AUS
330,1982,dusk,FRA,4,1,KUW,Null,URS
331,1982,night,HON,1,1,NIR,Null,HKG
332,1982,dusk,POL,5,1,PER,Null,MEX
333,1982,night,BEL,1,1,HUN,Null,ENG
334,1982,night,URS,2,2,SCO,Null,ROU
335,1982,dusk,ITA,1,1,CMR,Null,BUL
336,1982,night,ARG,2,0,SLV,Null,BOL
337,1982,night,BRA,4,0,NZL,Null,CRO
338,1982,dusk,ALG,3,2,CHI,Null,GUA
339,1982,dusk,FRA,1,1,TCH,Null,ITA
340,1982,night,HON,0,1,YUG,Null,CHI
341,1982,dusk,FRG,1,0,AUT,Null,SCO
342,1982,dusk,ENG,1,0,KUW,Null,COL
343,1982,night,NIR,1,0,ESP,Null,PAR
344,1982,dusk,AUT,0,1,FRA,Null,HUN
345,1982,night,POL,3,0,BEL,Null,CRC
346,1982,dusk,ITA,2,1,ARG,Null,ROU
347,1982,night,FRG,0,0,ENG,Null,BRA
348,1982,dusk,AUT,2,2,NIR,Null,GDR
349,1982,night,BEL,0,1,URS,Null,FRA
350,1982,dusk,ARG,1,3,BRA,Null,MEX
351,1982,night,FRG,2,1,ESP,Null,ITA
352,1982,dusk,FRA,4,1,NIR,Null,POL
353,1982,night,POL,0,0,URS,Null,SCO
354,1982,dusk,ITA,3,2,BRA,Null,ISR
355,1982,night,ESP,0,0,ENG,Null,BEL
356,1982,dusk,POL,0,2,ITA,Null,URU
357,1982,night,FRG,3,3,FRA,Penalties,NED
358,1982,night,POL,3,2,FRA,Null,POR
359,1982,night,ITA,3,1,FRG,Null,BRA
360,1986,afternoon,BUL,1,1,ITA,Null,SWE
361,1986,afternoon,CAN,0,1,FRA,Null,CHI
362,1986,afternoon,ESP,0,1,BRA,Null,AUS
363,1986,afternoon,URS,6,0,HUN,Null,ITA
364,1986,afternoon,ARG,3,1,KOR,Null,ESP
365,1986,afternoon,MAR,0,0,POL,Null,URU
366,1986,afternoon,ALG,1,1,NIR,Null,RUS
367,1986,afternoon,BEL,1,2,MEX,Null,ARG
368,1986,afternoon,POR,1,0,ENG,Null,GER
369,1986,afternoon,PAR,1,0,IRQ,Null,MRI
370,1986,afternoon,SCO,0,1,DEN,Null,HUN
371,1986,afternoon,URU,1,1,FRG,Null,TCH
372,1986,afternoon,ITA,1,1,ARG,Null,NED
373,1986,afternoon,FRA,1,1,URS,Null,BRA
374,1986,afternoon,KOR,1,1,BUL,Null,KSA
375,1986,afternoon,HUN,2,0,CAN,Null,SYR
376,1986,afternoon,BRA,1,0,ALG,Null,GUA
377,1986,afternoon,ENG,0,0,MAR,Null,PAR
378,1986,afternoon,NIR,1,2,ESP,Null,AUT
379,1986,afternoon,MEX,1,1,PAR,Null,ENG
380,1986,afternoon,POL,1,0,POR,Null,TUN
381,1986,afternoon,IRQ,1,2,BEL,Null,COL
382,1986,afternoon,DEN,6,1,URU,Null,MEX
383,1986,afternoon,FRG,2,1,SCO,Null,ROU
384,1986,afternoon,HUN,0,3,FRA,Null,POR
385,1986,afternoon,URS,2,0,CAN,Null,MLI
386,1986,afternoon,KOR,2,3,ITA,Null,USA
387,1986,afternoon,ARG,2,0,BUL,Null,CRC
388,1986,afternoon,PAR,2,2,BEL,Null,BUL
389,1986,afternoon,IRQ,0,1,MEX,Null,SRB
390,1986,afternoon,POR,1,3,MAR,Null,NIR
391,1986,afternoon,ENG,3,0,POL,Null,SUI
392,1986,afternoon,NIR,0,3,BRA,Null,GER
393,1986,afternoon,ALG,0,3,ESP,Null,JPN
394,1986,afternoon,SCO,0,0,URU,Null,FRA
395,1986,afternoon,DEN,2,0,FRG,Null,BEL
396,1986,afternoon,URS,3,4,BEL,Extra,SWE
397,1986,afternoon,MEX,2,0,BUL,Null,BRA
398,1986,afternoon,ARG,1,0,URU,Null,ITA
399,1986,afternoon,BRA,4,0,POL,Null,GER
400,1986,afternoon,ITA,0,2,FRA,Null,ARG
401,1986,afternoon,MAR,0,1,FRG,Null,SRB
402,1986,afternoon,ENG,3,0,PAR,Null,SYR
403,1986,afternoon,DEN,1,5,ESP,Null,NED
404,1986,afternoon,BRA,1,1,FRA,Penalties,ROU
405,1986,afternoon,FRG,0,0,MEX,Penalties,COL
406,1986,afternoon,ESP,1,1,BEL,Penalties,GER
407,1986,afternoon,ARG,2,1,ENG,Null,TUN
408,1986,afternoon,FRA,0,2,FRG,Null,ITA
409,1986,afternoon,ARG,2,0,BEL,Null,MEX
410,1986,afternoon,FRA,4,2,BEL,Extra,ENG
411,1986,afternoon,ARG,3,2,FRG,Null,BRA
412,1990,dusk,ARG,0,1,CMR,Null,FRA
413,1990,dusk,URS,0,2,ROU,Null,URU
414,1990,dusk,UAE,0,2,COL,Null,ENG
415,1990,night,ITA,1,0,AUT,Null,BRA
416,1990,dusk,USA,1,5,TCH,Null,SUI
417,1990,night,BRA,2,1,SWE,Null,ITA
418,1990,night,FRG,4,1,YUG,Null,DEN
419,1990,dusk,CRC,1,0,SCO,Null,ARG
420,1990,night,ENG,1,1,IRL,Null,GER
421,1990,dusk,BEL,2,0,KOR,Null,USA
422,1990,night,NED,1,1,EGY,Null,ESP
423,1990,dusk,URU,0,0,ESP,Null,AUT
424,1990,night,ARG,2,0,URS,Null,SWE
425,1990,dusk,CMR,2,1,ROU,Null,CHI
426,1990,dusk,YUG,1,0,COL,Null,ITA
427,1990,night,ITA,1,0,USA,Null,MEX
428,1990,dusk,AUT,0,1,TCH,Null,SCO
429,1990,night,FRG,5,1,UAE,Null,RUS
430,1990,dusk,BRA,1,0,CRC,Null,TUN
431,1990,night,SWE,1,2,SCO,Null,PAR
432,1990,night,ENG,0,0,NED,Null,SRB
433,1990,dusk,IRL,0,0,EGY,Null,BEL
434,1990,night,KOR,1,3,ESP,Null,ECU
435,1990,night,BEL,3,1,URU,Null,GER
436,1990,night,ARG,1,1,ROU,Null,POR
437,1990,night,CMR,0,4,URS,Null,BRA
438,1990,dusk,FRG,1,1,COL,Null,NIR
439,1990,dusk,YUG,4,1,UAE,Null,JPN
440,1990,night,ITA,2,0,TCH,Null,FRA
441,1990,night,AUT,2,1,USA,Null,SYR
442,1990,night,BRA,1,0,SCO,Null,AUT
443,1990,night,SWE,1,2,CRC,Null,SRB
444,1990,dusk,KOR,0,1,URU,Null,ITA
445,1990,dusk,BEL,1,2,ESP,Null,ARG
446,1990,night,IRL,1,1,NED,Null,FRA
447,1990,night,ENG,1,0,EGY,Null,SUI
448,1990,dusk,CMR,2,1,COL,Extra,ITA
449,1990,night,TCH,4,1,CRC,Null,GER
450,1990,dusk,BRA,0,1,ARG,Null,FRA
451,1990,night,FRG,2,1,NED,Null,ARG
452,1990,dusk,IRL,0,0,ROU,Penalties,BRA
453,1990,night,ITA,2,0,URU,Null,ENG
454,1990,dusk,ESP,1,2,YUG,Extra,GER
455,1990,night,ENG,1,0,BEL,Extra,DEN
456,1990,dusk,YUG,0,0,ARG,Penalties,SUI
457,1990,night,ITA,1,0,IRL,Null,POR
458,1990,dusk,FRG,1,0,TCH,Null,AUT
459,1990,night,ENG,3,2,CMR,Extra,MEX
460,1990,night,ITA,1,1,ARG,Penalties,FRA
461,1990,night,FRG,1,1,ENG,Penalties,BRA
462,1990,night,ITA,2,1,ENG,Null,FRA
463,1990,night,FRG,1,0,ARG,Null,MEX
464,1994,night,ESP,2,2,KOR,Null,DEN
465,1994,afternoon,GER,1,0,BOL,Null,MEX
466,1994,afternoon,USA,1,1,SUI,Null,ARG
467,1994,afternoon,ITA,0,1,IRL,Null,NED
468,1994,night,COL,1,3,ROU,Null,SYR
469,1994,afternoon,BEL,1,0,MAR,Null,COL
470,1994,afternoon,NOR,1,0,MEX,Null,HUN
471,1994,night,CMR,2,2,SWE,Null,PER
472,1994,night,NED,2,1,KSA,Null,ESP
473,1994,afternoon,BRA,2,0,RUS,Null,MRI
474,1994,afternoon,ARG,4,0,GRE,Null,USA
475,1994,night,NGA,3,0,BUL,Null,CRC
476,1994,afternoon,GER,1,1,ESP,Null,URU
477,1994,afternoon,ROU,1,4,SUI,Null,TUN
478,1994,night,USA,2,1,COL,Null,ITA
479,1994,afternoon,ITA,1,0,NOR,Null,GER
480,1994,night,KOR,0,0,BOL,Null,SCO
481,1994,afternoon,MEX,2,1,IRL,Null,SUI
482,1994,night,SWE,3,1,RUS,Null,FRA
483,1994,afternoon,BRA,3,0,CMR,Null,MEX
484,1994,afternoon,BEL,1,0,NED,Null,BRA
485,1994,afternoon,KSA,2,1,MAR,Null,ENG
486,1994,afternoon,ARG,2,1,NGA,Null,SWE
487,1994,afternoon,BUL,4,0,GRE,Null,UAE
488,1994,afternoon,USA,0,1,ROU,Null,NED
489,1994,afternoon,SUI,0,2,COL,Null,DEN
490,1994,afternoon,GER,3,2,KOR,Null,FRA
