,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
127,1990,ARG,20771,4520,900,8,0,CMR,3868,2655,20000,55,0,0,1,-1,-1
128,1990,ITA,41829,6047,200000,7,1,AUT,55684,901,200000,23,0,1,0,1,1
129,1990,BRA,14836,21256,450,3,0,SWE,55038,1010,200000,18,0,2,1,1,1
130,1990,BEL,53035,1159,1200,1,0,KOR,45275,5127,25000,39,0,2,0,2,1
131,1990,CMR,3868,2655,20000,55,0,ROU,32117,1924,200000,43,0,2,1,1,1
132,1990,ITA,41829,6047,200000,7,1,USA,63594,33101,10000,20,0,1,0,1,1
133,1990,IRL,93181,494,200000,47,0,EGY,12608,10234,200000,46,0,0,0,0,0
134,1990,KOR,45275,5127,25000,39,0,ESP,37766,4676,800,6,0,1,3,-2,-1
135,1990,ARG,20771,4520,900,8,0,ROU,32117,1924,200000,43,0,1,1,0,0
136,1990,AUT,55684,901,200000,23,0,USA,63594,33101,10000,20,0,2,1,1,1
137,1990,BEL,53035,1159,1200,1,0,ESP,37766,4676,800,6,0,1,2,-1,-1
138,1990,CMR,3868,2655,20000,55,0,COL,14932,5089,200000,15,0,2,1,1,1
139,1990,BRA,14836,21256,450,3,0,ARG,20771,4520,900,8,0,0,1,-1,-1
140,1990,IRL,93181,494,200000,47,0,ROU,32117,1924,200000,43,0,0,0,0,0
141,1990,ITA,41829,6047,200000,7,1,IRL,93181,494,200000,47,0,1,0,1,1
142,1990,ITA,41829,6047,200000,7,1,ARG,20771,4520,900,8,0,1,1,0,0
143,1994,ESP,37766,4676,800,6,0,KOR,45275,5127,25000,39,0,2,2,0,0
144,1994,ITA,41829,6047,200000,7,0,IRL,93181,494,200000,47,0,0,1,-1,-1
145,1994,COL,14932,5089,200000,15,0,ROU,32117,1924,200000,43,0,1,3,-2,-1
146,1994,BEL,53035,1159,1200,1,0,MAR,7370,3692,25000,34,0,1,0,1,1
147,1994,NOR,62645,543,200000,42,0,MEX,18445,12894,15000,11,0,1,0,1,1
148,1994,CMR,3868,2655,20000,55,0,SWE,55038,1010,200000,18,0,2,2,0,0
149,1994,BRA,14836,21256,450,3,0,RUS,29813,14594,200000,38,0,2,0,2,1
150,1994,USA,63594,33101,10000,20,1,COL,14932,5089,200000,15,0,2,1,1,1
151,1994,ITA,41829,6047,200000,7,0,NOR,62645,543,200000,42,0,1,0,1,1
152,1994,KOR,45275,5127,25000,39,0,BOL,8276,1168,200000,81,0,0,0,0,0
153,1994,MEX,18445,12894,15000,11,0,IRL,93181,494,200000,47,0,2,1,1,1
154,1994,SWE,55038,1010,200000,18,0,RUS,29813,14594,200000,38,0,3,1,2,1
155,1994,BRA,14836,21256,450,3,0,CMR,3868,2655,20000,55,0,3,0,3,1
156,1994,ARG,20771,4520,900,8,0,NGA,5187,20614,200000,32,0,2,1,1,1
157,1994,USA,63594,33101,10000,20,1,ROU,32117,1924,200000,43,0,0,1,-1,-1
158,1994,BOL,8276,1168,200000,81,0,ESP,37766,4676,800,6,0,1,3,-2,-1
159,1994,IRL,93181,494,200000,47,0,NOR,62645,543,200000,42,0,0,0,0,0
160,1994,BRA,14836,21256,450,3,0,SWE,55038,1010,200000,18,0,1,1,0,0
161,1994,ITA,41829,6047,200000,7,0,MEX,18445,12894,15000,11,0,1,1,0,0
162,1994,RUS,29813,14594,200000,38,0,CMR,3868,2655,20000,55,0,6,1,5,1
163,1994,ROU,32117,1924,200000,43,0,ARG,20771,4520,900,8,0,3,2,1,1
164,1994,BRA,14836,21256,450,3,0,USA,63594,33101,10000,20,1,1,0,1,1
165,1994,NGA,5187,20614,200000,32,0,ITA,41829,6047,200000,7,0,1,2,-1,-1
166,1994,ITA,41829,6047,200000,7,0,ESP,37766,4676,800,6,0,2,1,1,1
167,1994,ROU,32117,1924,200000,43,0,SWE,55038,1010,200000,18,0,2,2,0,0
168,1994,SWE,55038,1010,200000,18,0,BRA,14836,21256,450,3,0,0,1,-1,-1
169,1994,BRA,14836,21256,450,3,0,ITA,41829,6047,200000,7,0,0,0,0,0
170,1998,MAR,7370,3692,25000,34,0,NOR,62645,543,200000,42,0,2,2,0,0
171,1998,CMR,3868,2655,20000,55,0,AUT,55684,901,200000,23,0,1,1,0,0
172,1998,ESP,37766,4676,800,6,0,NGA,5187,20614,200000,32,0,2,3,-1,-1
173,1998,KOR,45275,5127,25000,39,0,MEX,18445,12894,15000,11,0,1,3,-2,-1
174,1998,ARG,20771,4520,900,8,0,JPN,42391,12648,25000,28,0,1,0,1,1
175,1998,ROU,32117,1924,200000,43,0,COL,14932,5089,200000,15,0,1,0,1,1
176,1998,BRA,14836,21256,450,3,0,MAR,7370,3692,25000,34,0,3,0,3,1
177,1998,ITA,41829,6047,200000,7,0,CMR,3868,2655,20000,55,0,3,0,3,1
178,1998,BEL,53035,1159,1200,1,0,MEX,18445,12894,15000,11,0,2,2,0,0
179,1998,ARG,20771,4520,900,8,0,JAM,9242,297,200000,45,0,5,0,5,1
180,1998,USA,63594,33101,10000,20,0,IRN,13339,8400,50000,31,0,1,2,-1,-1
181,1998,COL,14932,5089,200000,15,0,TUN,10823,1182,35000,26,0,1,0,1,1
182,1998,ITA,41829,6047,200000,7,0,AUT,55684,901,200000,23,0,2,1,1,1
183,1998,BRA,14836,21256,450,3,0,NOR,62645,543,200000,42,0,1,2,-1,-1
184,1998,BEL,53035,1159,1200,1,0,KOR,45275,5127,25000,39,0,1,1,0,0
185,1998,JPN,42391,12648,25000,28,0,JAM,9242,297,200000,45,0,1,2,-1,-1
186,1998,ROU,32117,1924,200000,43,0,TUN,10823,1182,35000,26,0,1,1,0,0
187,1998,ITA,41829,6047,200000,7,0,NOR,62645,543,200000,42,0,1,0,1,1
188,1998,ITA,41829,6047,200000,7,0,FRA,46984,6528,550,2,1,0,0,0,0
189,1998,BRA,14836,21256,450,3,0,FRA,46984,6528,550,2,1,0,3,-3,-1
190,2002,FRA,46984,6528,550,2,0,SEN,3503,1675,8000,22,0,0,1,-1,-1
191,2002,IRL,93181,494,200000,47,0,CMR,3868,2655,20000,55,0,1,1,0,0
192,2002,ARG,20771,4520,900,8,0,NGA,5187,20614,200000,32,0,1,0,1,1
193,2002,ESP,37766,4676,800,6,0,SVN,39769,208,200000,63,0,3,1,2,1
194,2002,BRA,14836,21256,450,3,0,TUR,27236,8434,200000,29,0,2,1,1,1
195,2002,ITA,41829,6047,200000,7,0,ECU,10896,1765,15000,53,0,2,0,2,1
196,2002,JPN,42391,12648,25000,28,1,BEL,53035,1159,1200,1,0,2,2,0,0
